"","biome","count_genera"
"1","Flooded grasslands and savannas",1
"2","Polar seas",1
"3","Tundra",1
"4","Tropical and subtropical moist broadleaf forests",2
"5","Tropical coral",2
"6","Xeric freshwaters and endorheic basins",2
"7","Large lakes",3
"8","Temperate coniferous forests",4
"9","Temperate grasslands savannas and shrublands",4
"10","Boreal forests/taiga",5
"11","Mediterranean forests woodlands and scrub",5
"12","Polar freshwaters",5
"13","Temperate upland rivers",5
"14","Temperate broadleaf and mixed forests",8
"15","Temperate coastal rivers",8
"16","Temperate floodplain rivers and wetlands",8
"17","Unknown",11
